name,line
Elise,Hi! (giggling) Hi!
Elise,Oh my gosh... you guys are too much!
Elise,"Wow, this fire is so bright and beautiful. I can't stop looking at it. Woah."
Elise,It's like it's spinning within me.
Elise,"Oh shit, that's outsi... outside of me. Okay. Yes. I'm good!"
Priest,"Princess, you had a That's So Raven vision once more."
Elise,"Oh no, I just day-dreamed. I'm here—for the people."
Priest,"Alright, well, let's get litty in this bitch. (Hayley laughs) Light that bitch up right now."
Elise,"I will light this bitch up, right now."
Priest,"Thank you, Princess. We're gonna get higher than a kite tonight!"
Elise,"It's lit, fam."
Chase,"Oh man, I hope somebody fucks up the fireworks."
Elise,Thanks guys~ Ah!
Robots,We are the robots! Please freeze. There's too much weight. Please freeze! Please freeze!
Robot,Am I doing this right? It's my first day on the job. Please freeze. Hello.
Eggman,"(ugly chuckles) Why, hello there, young princess. Do you like my outfit, my four nipples? (gestures to his outfit) Now — you must acquire me by getting on this boat right now! Not the boat— my ship!"
Eggman,"Gimme this— (gasps) You have the Chaos Emerald! In your hands! Gimme that shit right now, or I'm gonna rip it off you my goddamn self; give it to me!"
Elise,"Uh, how about no? Hehe."
Eggman,Oh. You'd rather do this the hard way.
Eggman,"Well, then it looks like we're gonna- Wait, those aren't tornadoes, this isn't Arizona! What's happening?!"
Sonic,My! That's a pretty snazzy performance there.
Silver,Eh?!
Sonic,HmMMmMm.
Eggman,Get that goddamn hedgehog!
Sonic,Hyah! I'm going down!
Robot,"Oh my God, he's an acrobat!"
Sonic,I'm gonna kill all of you! And... poke!
Robot,(anguished robot scream)
Sonic,"Oh, don't fall!"
Sonic,"HAHA, HA! ONE!"
Sonic,"Come on, Elise."
Eggman,"Sonic, where do you think you're going you motherfucking-- Oh! He's cockblocking me! Get him!"
Sonic,You're never gonna get me~!
Sonic,"Don't worry, Eggman's an egghead."
Eggman,What did you call me?!
Silver,"Oh, I should... uh... I-I guess he's got it handled. I'll just... I mean it'd be really awkward if I walked in now, so... (cast's wheezing laughter)"
Sonic,"Are you okay, princess? Whoa!"
Robots,"Kill em', we gotta kill em'. Stop!"
Sonic,"No, you can't kill anybody. Especially not me!"
Robot,"Oh my god, I have a family."
Robots,No! Ouch.
Sonic,Huh?! It sounds like you're getting taken away!
Eggman,"Yes, Sonic, I got 'cha bitch!"
Eggman,I got her in the palm of my hands!
Sonic,"Put her down, Eggman!"
Eggman,You put yourself down. I'm taking her and the Chaos Emeralds.
Elise,Take it!
Elise,Houee!
Sonic,"I'm gonna drop it, Elise, no! Oh, thank God. Okay, I'll rescue you. Don't worry."
Eggman,"No, you won't."
Sonic,I will!
Elise,"Take it, be good."
Eggman,"I'm taking her back to my ship and you'll never see her again, Sonic. You'll be dead. 10,000 years, Sonic! (screaming louder, but farther away) 10,000 years!"
Sonic,You won't even live for then— () ten thousand years.
Eggman,Then thousand years!
Sonic,Said the— Don't make fun of me!
Eggman,"Wow, Sonic, go read a book or something. See ya, idiot."
Sonic,"I can read very well, actually."
Sonic,"No! (grunts) Well, that smarts."
Eggman,Dumbass.
Shadow,HU-gh.
Shadow,"Dang robots— always taking my job of being bland. How'd I blow you up? How'd I blow YOU up? Ugh, I have some powers I need to kind of adjust to. Anyway— oh crap, light! Hey. Wristband. Tell me my future."
Wristband,It's me. The GUN soldier that's talking to you. Your future is: Undetermined.
Shadow,"Well, that's pretty lame. I spent like $20 on you. Anyway, I'm gonna break into— WHOA!"
Shadow,"Well, that was weird. Dematerializing, rematerializing. Anyway, Rouge, that's a nice purple you have there."
Rouge,"Thanks, it's uh, a good color on me. What do you think of my scepter?"
Shadow,I think it's nice. That's the purple I was referring to.
Rouge,Oh.
Shadow,"I mean, it matches your pink."
Rouge,Gotcha.
Shadow,Good.
Rouge,What's happening?
Shadow,"It's an earthquake, Rouge. Like, honestly, didn't you learn about this in third grade?"
Robot,You're getting fucked.
Rouge,"Uh, I don't know what earthquakes are."
Shadow,(scoffs) Then you're gonna be no use against these earthquake robots.
Sonic,"Oh, hey Tails!"
Tails,Hey Sonic!
Sonic,Long time no see.
Tails,How's it goin'? You want to go get some ice cream?
Sonic,(distracted) Well...
Tails,I'm-- I'm really hungry for some ice cream. I could go for a sundae or something right now.
Sonic,Hmmm...
Tails,"I don't know, maybe... something with sprinkles."
Sonic,"I'll take one scoop, please!"
Tails,"Okay! Bye Sonic! I— Oh, okay. I can fly? What?"
Sonic,"Aw, missed him again. We always miss the ice cream airship, Tails!"
Tails,Aw man!
Tails,It dropped a feather. I didn't think airplanes had feathers.
Sonic,"What is this one, vanilla?"
Tails,I guess so. Bye!
Sonic,"Yummy, yummy in my tummy!"
Shadow,"Oh crap. Rays. Well, fortunately we made here to the computer room. Hey— hey Rouge. Hey Rouge, hey Rouge."
Rouge,Yeah.
Shadow,We found— we— we found the computer room.
Rouge,"Oh fuck, the computer room. We could play so much Fortnite in here, dude."
Shadow,Are you kidding?
Rouge,Just think of all the Fortnite battles we could win in this room with this much technology. We'd be unstoppable.
Shadow,That's lame. Listen.
Shadow,"I appreciate the effort, but the new rage is Doki Doki Literature Club battle royale."
Rouge,Ohhh. I never heard about that one. Ohhh. I never heard about that one.
Shadow,"That's the new Monika re-design. She's like a redhead... even though she was, like, kinda brunette? I don't know. I didn't play Doki Doki."
Rouge,"I've not heard about that one yet, what's it about? How does it work? It sounds like a fun game. But, I mean, my favorite game is-is Fortnite, obviously. And this is a Fortnite update. This is a DLC I purchased. It's like an Amiibo."
Shadow,I'm so proud of you.
Rouge,Thank you! We're gonna go there.
Rouge,That's where we should— that's the island we should drop on right there.
Shadow,"So, this is the fabled Tilted Towers."
Shadow,"I could make a joke about that being the Battle Bus, but— (gasp)! It's you!"
Eggman,"(sinister laughter) I know where we're droppin' today, boys. (snickers)"
Rouge,"Eggman, how did you get here?"
Eggman,How do you think I get here? I floated down on my giant Battle Bus. (Mumbles and sings) The big air bus is comin! (normal speech) You know what I'm sayin'? It's Fortnite. How could you not know about Fortnite? You said you played. You were BatFucker69 on there.
Shadow,I haven't seen you since... The Incident.
Robots,BatFucker. BatFucker. BatFucker. BatFucker.
Eggman,"We don't talk about The Incident, Shadow. Now, DIE!"
Robot,I'll destroy you BatFucker!
Shadow,"Oh, Christ!"
Robot,It's been determined!
Rouge,AAaaaa!
Rouge,That's so mean!
Shadow,That's what you get for unironically having '69' in your name.
Shadow,HOH! Teriaaa!
Rouge,"Oh Shadow, you saved me!"
Eggman,"AHA! No, god! (finishes sentence while chuckling)"
Shadow,"Oh crap, the Purple's falling in a very long time!"
Rouge,No! Gimme the— get the purple! Oh no!
Robots,(repeatedly) Ow. Ow. Ow.
Robots,[unintellegable]
Robot,Instant ramen!
Shadow,So it's the power of Purple. I don't want to touch it.
Rouge,Did he break it?
Shadow,I don't kno— OH GOD
Memphis,(visceral screaming)
Rouge,Oh my god!
Eggman,"Oh no, the instant ramen's been released! We need to go, NOW."
Rouge,"Nooo, my Amiibo...."
Shadow,"A shadow. I feel like I should be able to feel with this guy, but.... I don't know. Something about it— AUGH!"
Shadow,"Going through the floor. Who do you think you are, Danny Phantom or something?"
Rouge,(gasps)
Shadow,My shadow... That's how I got my name!
Memphis,"(menacing laughter, followed by violent coughing)"
Shadow,"Oh d— dude, you alright?"
Memphis,(more violent coughing)
Shadow,You good? Good? You need a lozenge?
Rouge,"Oh my god, who the fuck is that?"
Shadow,Just let him have— just give him a second to clear his throat.
Memphis,(menacing laughter)
Memphis,Welcome to Tilted Towers.
Memphis,"Allow me to introduce myself. My name is Memphis, Tennessee, and I'm part lizard. Nice to— Yoroshiku egai-ishima, as they say in Nippon."
Shadow,Mee-Philes! I should've guessed. What happened to your mouth?
Memphis,"Oh, Shadow the Hedgehog, you don't know? There's a new trend going around online called kinning.My body is reforming to suit your own.oon I will be 100% Shadow, and there's nothing you can do to stop me. (villainous laughter)"
Shadow,"I can, um, kick your ass. Right now."
Memphis,"(Minecraft zombie growl) Let me get a good smell of you, little boy. (deep congested breathing)"
Shadow,No. Okay. You have to... gonna have to back up.
Memphis,"(snort laughs) Look at this orb. Inside you'll see the future. In your future, it looks like you'll kiss seven girls. How lucky for you. I learned this a few minutes ago."
Shadow,"Joke's on you! If you were a true copy of me, you'd know I'm gay."
Memphis,"Here, come to my house. C'mon, let's just go."
Rouge,Wha--!
Memphis,To my house.
Alfred,This game is AWFUL.
Blue,We just got fucking Thanos'd. What the shit?
Ryan,We just disappeared!
Silver,"Okay, so.."
Silver,Google Maps said the Denny's would be just around this corner. Denny's?
Silver,Augh! Get out.. of my way please!
Silver,Thank you!
Blaze,Silver!
Silver,Huh?
Blaze,Silver! The Denny's is that way.
Silver,"Finally, a Grand Slam!"
Silver,Let's go!
Blaze,"Save a cheese melt for me, Silver!"
Blaze,There it is: the Grand Slam! The Grandest Slam of them all -
Grand Slam,"It is I, the Grand Slam!"
Silver,I'm gonna savor every morsel of this. Let's go!
Grand Slam,You will not consume me. I will have both of your souls ingested in the G R A N D S L A M !
Blaze,...and then we ate it.
Silver,I can't believe we ate the who~ole thi~ng…
Blaze,"I know, I'm stuffed. I could use a nap, Silver."
Silver,"Well, I just always want to sleep, you know. I'm tired all the time. I hate it. 'Cause then when I try to go to sleep, I--I can't."
Blaze,"I know, and you angst so much about it."
Silver,"Ugh, I just wanna sleep, Blaze. I'm so tired of taking melatonin. It makes me tired all the time."
Blaze,"Oh, I fuckin' feel you there, buddy. Insomnia, am I right?"
Memphis,"Hey, gamers. Were you talking about Fortnite? No, I'm not even gonna pretend you were talking about Fortnite. I just really love bringing up my favorite game whenever I can."
Memphis,"I, too, have insomnia, but unlike you mine is not caused by depression."
